店舗ID,集計開始日,集計終了日,分類ID,分類名称,メニューID,メニュー名称,メニュータイプ,チョイスID,チョイス名称,売価(税込),売価(税抜),原価(税込),原価(税抜),販売数,販売金額(税込),値割引金額,消費税率区分
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214863,刺身,1766461,本マグロ刺し盛り,food,,,1540,1400,751,696,36,55440,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214863,刺身,1766462,本マグロ赤身,food,,,1540,1400,751,696,1,1540,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214863,刺身,1766463,本マグロトロ,food,,,1540,1400,751,696,1,1540,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214863,刺身,1766465,刺し盛り,food,,,1089,990,506,469,410,446490,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214864,煮もの,1766466,もつ煮込,food,,,495,450,207,192,115,56925,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214864,煮もの,1766467,牛すじトマト煮込み,food,,,495,450,206,191,243,120285,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214864,煮もの,1766468,あら煮大根,food,,,484,440,33,31,84,40656,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214867,焼き魚,1766477,まぐろカマ,food,,,759,690,270,250,32,24288,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214867,焼き魚,1766478,鯛カブト塩焼き,food,,,319,290,64,60,32,10208,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214867,焼き魚,1766480,さば塩焼き,food,,,649,590,216,200,26,16874,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214868,早出し,1766482,ポテトサラダ,food,,,418,380,90,84,125,52250,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214868,早出し,1766483,お新香,food,,,418,380,116,108,69,28842,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214868,早出し,1766484,おひたし,food,,,418,380,63,59,57,23826,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214860,一品,1766485,タコの柔らか煮,food,,,484,440,86,80,95,45980,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214868,早出し,1766486,じゃこ乗せオニスラポン酢,food,,,418,380,108,100,51,21318,,10
